CTC RELATED,CTC
CTC MECHANICAL,CTC
DELIVERY CONFLICT,CTC
SHIPMENT OVERWEIGHT,CTC
PLANNING RELATED,CTC
DC RELATED,CTC
PREVIOUS STOP,Store
REFUSED BY CUSTOMER,Store
STORE RELATED,Store
CARRIER MECHANICAL BREAKDOWN,Carrier
CARRIER FAILED TO ASSIGN LOAD,Carrier
CARRIER DISPATCH ERROR,Carrier
DRIVER NO SHOW,Carrier
DRIVER LATE,Carrier
DRIVER DELAYED EN ROUTE,Carrier
DRIVER EXECUTION ISSUE,Carrier
CARRIER RELATED,Carrier
ACCIDENT,Carrier
RAIL OR BARGE DELAY,Rail
ROAD CONDITIONS/TRAFFIC,Carrier
PREVIOUS CARRIER DID NOT EXECUTE ON TIME,Previous Carrier
,
